"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Lithograph","12 1/4 x 12 1/4"" (31.1 x 31.1 cm)","A&D Graphic Design","Saul Bass, Elmer Bernstein, Decca Records","http://www.moma.org/collection/works/185648","AMERICAN","Album cover for The Man with the Golden Arm","Gift of the designer","10/6/2014","Architecture & Design","Y","775.2014","1955","(American, 1920–1996) (American, 1922–2004) (founded 1929)","Y","185648","The emblematic silhouette of a drug addict's contorted forearm was the key to Bass's campaign linking poster and album cover design to the film's title sequence. Bass wanted to convey ""the distortion and jaggedness, the disconnectedness and disjointedness of the addict's life."" Music was important to the film's narrative, the main character being a downbeat drummer played by Frank Sinatra. Working on a tight production schedule Bernstein composed his music at the same time that Bass was creating the title. Bass explained, ""He gave me a beat, 'the counts' as we say, and I designed to that beat.""","Frank Sinatra (0.979133), Character (0.78762), Drug addiction (0.77152), Rock music (0.695359), Album cover (0.671755), Addiction (0.639487), Protagonist (0.634863), Narrative (0.614706)"
"Bakelite, stainless steel, and woven cloth","15 15/16 x 15 9/16 x 8 1/4"" (40.5 x 39.5 x 21 cm)","A&D Design","Wells Coates","http://www.moma.org/collection/works/185452","CANADIAN","Radio (model AD-65)","Promised gift of George R. Kravis II","10/6/2014","Architecture & Design","Y","PG752.2014","1932","(Canadian, 1895–1958)","Y","185452","These radio sets departed from the styling of early domestic radios as bulky pieces of furniture. In keeping with company founder E. K. Cole's view of radio as a modern medium, the geometric and unadorned design of the cabinets highlighted rather than disguised their essential componentsthe speaker and tuning knobs. EKCO was an early adopter of Bakelite, a synthetic plastic material that could be industrially molded, and approached several well-known modernist architects to design receivers suited to this modern technology. Plastics also made relatively lightweight, compact designs possible (the Chermayeff set was equipped with handles for portability).","Plastic (0.980985), Radio (0.78754), Engineering (0.666655), Architecture (0.665594), Surrealism (0.559063), Design (0.558352), Synthetic fiber (0.54885), Furniture (0.544555)"
"Lithograph","49 x 36"" (124.5 x 91.4 cm)","A&D Graphic Design","Alfred Roller","http://www.moma.org/collection/works/185292","AUSTRIAN","Gustav Mahler, Uraufführung der VIII Symphonie (Gustav Mahler, Premiere of Eighth Symphony) (Poster for world premiere of Gustav Mahler's 8th Symphony in Der neue Musik Festhalle, Munich, Germany)","Committee on Architecture and Design Funds","10/6/2014","Architecture & Design","Y","833.2014","1910","(Austrian, born Moravia (now Czech Republic). 1864–1935)","Y","185292","Since 1902 Roller had collaborated with Mahler on the creation of posters, lighting and set design that would spring ""with inner necessity"" from the music, creating powerful, cumulative effects on the viewer. The giant initials on this poster indicate Mahler's dual significance as composer and conductor on the occasion of the symphony's world premiere. ""Imagine that the universe begins to ring and resound ... With evolving planets and suns,"" wrote Mahler of this musically groundbreaking fusion of song and symphony. The expressive letterforms, dramatic color contrasts and swelling rhythms of Roller's design capture the spirit and ambitious scale of the production.","Universe (0.943137), Earth (0.936112), English-language films (0.859107), Typography (0.822689), Planet (0.727616), American films (0.674153), Creation myth (0.657974), Music (0.654321)"
"Digital application","","A&D Design","Björk, Mathias Augustyniak, Michael Amzalag, M/M Paris, Sjón (Sigurjón Birgir Sigurðsson), Scott Snibbe, Max Weisel, Relative Wave, Sarah Stocker, Mark Danks, Kodama Studios, Touch Press, London, Nikki Dibben, Stephen Malinowski, John F. Simon, Jr.","http://www.moma.org/collection/works/179295","ICELANDIC","Biophilia","Gift of Björk and One Little Indian","5/19/2014","Architecture & Design","Y","348.2014","2011","(Icelandic, born 1965) (French, born 1967) (French, born 1968) (est. 1992) (Icelandic, born 1962) (American, born 1969) (American, born 1991) (est. 2009) (American, born 1965) (American, born 1972) (est. 2011) (est. 2010) (British, born 1969) (American, born 1953) (American, born 1963)","Y","179295","Biophilia—a hybrid software application (app) and music album with interactive graphics, animations, and musical scoring—reflects Björk's interest in a collaborative process that in this case not only included other artists, designers, engineers, and musicians, but also invites engagement from the people that download and play the app/album. Upon opening the program, players encounter a galaxy punctuated with ten songs represented by bright, colorful stars. Touching a star launches a mini- app—a smaller world within the larger Biophilia galaxy—in which one may both listen to and contribute to a song. The interactive graphics and animations of the mini-apps relate directly to the theme of each song.Biophilia means, in its most literal sense, an attraction towards all that is alive and vital in the natural world of plants, animals, and the wider ecosystem. Designing an app as an integral part of the album experience, Björk and her many collaborators on this project have made the connection between nature and the natural, fluid place that technology holds in contemporary life.","Star (0.979852), Nature (0.952925), Collaboration (0.824134), Computer software (0.662811), Application software (0.661836), Life (0.622397), Engineering (0.614879), Music (0.587829)"
"Lithograph","29 1/4 x 39 3/4"" (74.3 x 101 cm)","A&D Graphic Design","Jan Lenica","http://www.moma.org/collection/works/125420","POLISH","Cul-de-sac (Poster for British comedy thriller directed by Roman Polanski)","Gift of the designer","5/19/2014","Architecture & Design","Y","377.2014","1966","(Polish, 1928–2001)","Y","125420","This is one of several posters Lenica designed for films directed by the Polish expatriate Roman Polan´ski. The cartoonish figures capture the grimly funny spirit of Cul-de-sac and reflect Lenica's own aesthetic strategies as an animator. Speaking at MoMA in 1974, he explained, ""For animation, paper cuts and collage are the best. Drawing in animation has no character, it is too anonymous. I make it as simply as possible."" The poster was awarded a Special Prize in 1973 at the First International Film Poster Competition in Cannes.","Painting (0.936041), Roman Polanski (0.89355), Typography (0.868768), Pablo Picasso (0.768722), Poland (0.729073), Horror film (0.711439), Art (0.686074), Cul-de-Sac (0.666406)"
"Offset lithograph","32 1/2 x 22 5/8"" (82.6 x 57.5 cm)","A&D Graphic Design","Wiktor Górka","http://www.moma.org/collection/works/125426","POLISH","Dwaj z Teksasu (Two from Texas) (Poster for the 1955 film The Tall Men directed by Raoul Walsh, starring Clark Gable and Jane Russell)","Gift of the designer","5/19/2014","Architecture & Design","Y","365.2014","1965","(Polish, 1922–2004)","Y","125426","Górka's striking treatment in this work contrasts greatly with the photographic realism of American posters for such Hollywood Western films. The widespread Polish fascination with the mythic themes of the American West continued into the late 1980s; the most famous Solidarity poster for the first free  elections in Poland, in 1989, featured Gary Cooper in his 1952 role as the sheriff in High Noon, carrying a ballot.","Los Angeles (0.960594)"
"Lithograph","34 x 23"" (86.4 x 58.4 cm)","A&D Graphic Design","Jan Lenica","http://www.moma.org/collection/works/125429","POLISH","Niebieski ptak (The Blue Bird) (Poster for the 1955 film Il Bidone [The Swindle] directed by Federico Fellini)","Gift of the designer","5/19/2014","Architecture & Design","Y","374.2014","1957","(Polish, 1928–2001)","Y","125429","Lenica studied architecture and music before turning to poster design and film animation. From 1954 he worked alongside Tomaszewski at the Warsaw Academy of Fine Arts. Lenica considered this poster a personal favorite; in 1983 he said of it, ""For the first time I began to develop a personal interpretation, with a particular Polish resonance. The original title of Fellini's film, Il bidone, was completely different. But it is a story about a con man, and in Polish a 'Blue Bird' is exactly that."" The poster was awarded the 1961 Toulouse-Lautrec Grand Prix at the II International Film Poster Exhibition in Versailles.","Art (0.946528), Music (0.908454), Il bidone (0.721821), Film (0.699148), Fine art (0.588127), 1899 (0.567037), A Story (0.558137), 1901 (0.546069)"
"Installation of ink on paper collage mounted on twelve cotton sheets, wood, cable, and video component (color, sound)","dimensions vary upon installation; 12 units, each: 109 x 88 1/2"" (276.9 x 224.8 cm); video: 14 min., 4 sec.","Installation","Matt Mullican","http://www.moma.org/collection/works/179703","AMERICAN","Untitled (Learning from That Person's Work: Room 1)","Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art and the Friends of Contemporary Drawing","5/14/2014","Drawings","Y","269.2014.a-m","2005","(American, born 1951)","Y","179703","Since 1977, Mullican has been working under hypnosis, which he considers a way of breaking the patterns of everyday life, in an effort to examine his subconscious. In this altered state, Mullican becomes someone he refers to as ""that person"": an ageless, genderless being that is a passenger inhabiting his body. In public performances, that person makes artwork while talking to himself through a haze of hypnotically induced intoxication or psychosis. Untitled (Learning from That Person's Work: Room 1) is a large-scale manifestation of that person's activity. This disorienting, maze-like installation consists of twelve parts, in which bed sheets are covered with nine collaged ink-on-paper drawings. An accompanying video brings that person—mumbling and humming to voices he hears as the water fills and drains from a bathtub—directly into the installation. This immersive environment invites viewers to step into the wild terrain of Mullican's subconscious—and that person's reality.","Energy (0.900537), Life (0.841006), The Wild (0.8146), Bed (0.78007), Altered state of consciousness (0.774071), Contemporary art (0.766637)"
"Eighty handmade slides","Each: 1 x 1 1/2"" (2.5 x 3.8 cm); 9 min.","Installation","Luther Price","http://www.moma.org/collection/works/177316","AMERICAN","Sorry","Fund for the Twenty-First Century","5/7/2014","Media and Performance Art","Y","217.2014","2005-2012","(American, born 1962)","Y","177316","Since the 1980s, Luther Price has produced a prolific body of films, performances, and slides defined by a distinct vocabulary drawn from autobiography, visceral imagery, and religious iconography. In the last fifteen years he has turned to the manipulation of found film footage, testing the limits of this increasingly obsolete medium by painting, corroding, scratching, and even burying celluloid.Price began making slides as a means of obtaining ""stills"" from his unique handmade films. By collaging fragments of B movies, discarded Hollywood trailers, or anonymous home movies in projected compositions, Price personalizes these lost images. Sorry consists of eighty handmade slides created over seven years; the work ruminates on mortality and selfhood, pairing remnants of a found film from the 1940s about Jesus and the Crucifixion with banal images of a suburban family, combined with desiccated insects, hair, leaves, ink, and layers of tape. The slide format allows Price to project these raw materials, provoking questions about the obsolescence of analog photographic technologies.","Film (0.918317), Jesus (0.842609), Warner Bros. (0.77868), Film stock (0.731241), Slide rule (0.720182), Photography (0.702062), Horror film (0.693963), Crucifixion of Jesus (0.68549)"
"Oil and Chroma Key Video Paint on flat-screen televisions, VHS and HD video transferred to .mp4 (color, sound)","Left screen: 12:21 min. Right screen: 75:13 min.","Installation","Ken Okiishi","http://www.moma.org/collection/works/180678","AMERICAN","gesture/data","Acquired through the Generosity of Jill and Peter Kraus","5/7/2014","Media and Performance Art","Y","216.2014.a-b","2014","(American, born 1978)","Y","180678","By repurposing methods of television, cinema, and video production, Ken Okiishi's work responds to the migration of images, information, and language in a world increasingly reshaped by digital media. gesture/data combines video recordings with painting to create hybrid image-objects suspended between analog and digital technologies. The artist was inspired by viewing Wood, Wind, No Tuba (1980), an abstract painting by Joan Mitchell (American, 1925-1992), in MoMA's Agnes Gund Garden Lobby. As he photographed the painting with his iPhone, Okiishi was fascinated by the transformation of its original scale and physical presence into a small, portable field of glowing pixels and code. Okiishi paints directly onto the surfaces of flat-screen monitors that play mash-ups of 1990s VHS home recordings of sitcoms and advertisements partially recorded over with sequences from new, digitally broadcast television. gesture/data playfully suggests connections between the physical traces of gestural painting and the swipes, taps, and pinches through which we now access digital images, subject to infinite redistribution.","Digital (0.987248), NTSC (0.698671), Media technology (0.688108), Digital television (0.681013), Abstract expressionism (0.644629), Image (0.628), Digital media (0.617971), Digital photography (0.591596)"
"Video (color, sound)","14 min.","Video","Hito Steyerl","http://www.moma.org/collection/works/181784","GERMAN","How Not to Be Seen: A Fucking Didactic Educational .MOV File","Committee on Media and Performance Art Funds","5/7/2014","Media and Performance Art","Y","219.2014","2013","(German, born 1966)","Y","181784","Artist and critic Hito Steyerl's video works explore how images are produced, circulated, and shared. The artist has referred to images as a ""condensation of social forces,"" suggesting that through them we can trace the underlying systems of the contemporary world. In this satirical take on instructional films, Steyerl demonstrates several tongue-in-cheek strategies for remaining ""unseen"" in a world subject to new, sophisticated means of surveillance—pointing to the ways in which our technologies encroach on physical experience. Much of the work was shot on a desert site riddled with photo calibration targets used by the military to hone the focus of airplane cameras. Acts of war are therefore mediated by digital tools; Steyerl drives this point home by superimposing a computer desktop onto the desert landscape, underscoring the links between economies of violence, communication, and entertainment. In her words, ""How do people disappear in an age of total over-visibility? . . . Are people hidden by too many images? Do they go hide amongst other images? Do they become images?""","Desert (0.9144), Military (0.686829), Geomorphology (0.619905), Focus (0.556787), Precipitation (0.54756), Desktop environment (0.543794), Contemporary history (0.543582), Acts of the Apostles (0.543007)"
"Four-channel video (color, three channels of stereo sound; 6:30 min.), two chromogenic prints, Speed Rail® structural support system, aluminum trim, one wall painted Chroma Key Blue, and one wall painted red","Dimensions variable","Installation","Dara Birnbaum","http://www.moma.org/collection/works/181789","AMERICAN","PM Magazine","Acquired with support from The Modern Women's Fund and The Contemporary Arts Council of The Museum of Modern Art, through the generosity of Ahmet Kocabiyik and Jill and Peter Kraus, and with Committee on Media and Performance Art Funds
","5/7/2014","Media and Performance Art","Y","203.2014","1982","(American, born 1946)","Y","181789","One of the first artists to appropriate television imagery, Dara Birnbaum dissects and recombines television's symbols and codes as a means of resisting its one-way address and encouraging active, critical viewing. PM Magazine is one of Birnbaum's earliest multi-channel installations. Responding to the marginalization of video artworks in museums and institutions at the time, the artist claimed a space for video by painting two freestanding walls with colors significant to television production of the 1980s: Chroma Key Blue and red, which was considered too vibrant for the broadcast of a stable signal. Four monitors are framed by an industrial Speed Rail support structure similar to hardware used in television production and trade shows. Manipulating and re-editing sequences from the television program PM Magazine and a Wang Laboratories computer commercial, Birnbaum draws on strategies from feminism and institutional critique to alter the meaning and fundamental syntax of mass-media imagery. Set to a post-punk cover of The Doors' ""LA Woman,"" PM Magazine undermines popular culture's emphasis on consumption, leisure, and gender stereotypes.","Broadcasting (0.943033), Television (0.887644), The Doors (0.850784), Popular culture (0.829851), Gender (0.772182), Punk rock (0.662152), Feminism (0.652211), Sociology (0.625021)"
"Four-channel video (color, sound)","64 min.","Installation","Charles Gaines","http://www.moma.org/collection/works/175258","AMERICAN","Manifestos 2","Acquired through the generosity of Jill and Peter Kraus, Jerry I. Speyer and Katherine G. Farley, and The Friends of Education of The Museum of Modern Art","12/12/2013","Media and Performance Art","Y","1206.2013.1","2013","(American, born 1944)","Y","175258","Manifestos 2 consists of four large graphite drawings of musical scores—each a transcription, as it were, of an abridged version of a revolutionary speech or political manifesto, made by assigning a note to each letter and a rest for each space—and four video monitors that display Gaines's variants of the original texts. The four texts are ""An Indigenous Manifesto"" (1999), by the Canadian activist and educator  Taiaiake Alfred, addressing the history and future of indigenous peoples; Malcom X's last public speech, from 1965, in which he advocated unity among oppressed communities; Raul Alcaraz and Daniel Carrillo's ""Indocumentalismo"" (2010), which calls for rights for undocumented immigrants; and the ""Declaration of the Rights of Woman and the Female Citizen,"" written by Olympe de Gouges in 1791, which champions equality of the sexes. In the videos, recordings of each piece of music accompany each gradually scrolling text; once all four have played on their own, they all play simultaneously, allowing the manifestos to act both individually and together. The resulting work considers the ways in which, in Gaines's words, ""the activist posture [of these texts] is complicated by the affect of music.""","Olympe de Gouges (0.979589), Music (0.902886), Musical notation (0.84108), Manifesto (0.781242), Human migration (0.7176), Party platform (0.711018), Female (0.667998), Argentina (0.659292)"
"Two-channel video (color, silent)","15:25 min.","Installation","Emily Roysdon","http://www.moma.org/collection/works/179338","AMERICAN","Sense and Sense","Fund for the Twenty-First Century","12/12/2013","Media and Performance Art","Y","1210.2013.1","2010","(American, b. 1977)","Y","179338","Roysdon's work encompasses art-making, choreography, curating, writing, and organizing. Sense and Sense is part of her ongoing exploration of how political movements are represented, which hinges on a broad understanding of choreography as organized movement. Roysdon is interested in ""the way an idea of 'free movement' and people demonstrating comes to be represented by an abstraction and in turn comes to represent the idea of the city."" For this piece, she collaborated with the performance artist MPA, whose work examines the social and political implications of the body in space.MPA lays on her side and mimics walking, her body pressed to the ground, through Stockholm's buzzing central square, Sergels Torg, a historical site of countless political demonstrations. Her physical struggle to move in a manner that appears easy and uninhibited recalls the utopian ideals embedded in the site, which was planned to accommodate political protests. In this way, Sense and Sense prompts passersby to compare their everyday movement in the iconic square to the history of political movements galvanized there since its construction in 1967.","Idea (0.918893), Stockholm (0.90564), Social movement (0.903451), Utopia (0.847754), Politics (0.789909), Sergels torg (0.778088), Demonstration (0.642107), Walk This Way (0.62686)"
